Scale Factor (a),Curvature (k),Redshift (z),Comoving Distance (Mpc),Proper Distance (Mpc),Angular Distance (Mpc),Luminosity Distance (Mpc),Light Travel Time (Gyr),Big Bang to z Travel Time (Gyr),Universe Time (Gyr)
0.24165202108963096,k = 0,3.1381818181818177,2.101668467560049e-16,2.101668467560049e-16,5.078724328462334e-17,8.697086240303038e-16,11.466159067258234,2.010146750695439,13.476305817953673
0.2358996354278362,k = 0,3.239090909090909,2.131036728417856e-16,2.131036728417856e-16,5.0271078731710104e-17,9.033658422374964e-16,11.53678061112039,1.9395252068332829,13.476305817953673
0.2304147465437788,k = 0,3.34,2.159404807212037e-16,2.159404807212037e-16,4.975587113391791e-17,9.37181686330024e-16,11.603391917723503,1.8729139002301725,13.476305817953673
0.22517911975435007,k = 0,3.4409090909090905,2.186826972158932e-16,2.186826972158932e-16,4.9242777264581885e-17,9.711499780905801e-16,11.666301872588958,1.8100039453647148,13.476305817953673
0.22017614091273022,k = 0,3.5418181818181815,2.213353573438393e-16,2.213353573438393e-16,4.873276482750666e-17,1.0052649502634736e-15,11.725789749400214,1.7505160685534589,13.476305817953673
0.21539064029763072,k = 0,3.6427272727272726,2.2390313862311836e-16,2.2390313862311836e-16,4.822664039268263e-17,1.0395212081347867e-15,11.782108565889947,1.6941972520637245,13.476305817953673
0.2108087389804523,k = 0,3.743636363636363,2.263903919542748e-16,2.263903919542748e-16,4.7725073045171e-17,1.073913695652187e-15,11.835488005407436,1.6408178125462374,13.476305817953673
0.2064177143929443,k = 0,3.8445454545454543,2.2880116944923317e-16,2.2880116944923317e-16,4.7228614448143456e-17,1.1084376654499668e-15,11.886136966764635,1.5901688511890377,13.476305817953673
0.20220588235294118,k = 0,3.9454545454545453,2.311392495348857e-16,2.311392495348857e-16,4.673771589859821e-17,1.143088652245253e-15,11.934245795105351,1.5420600228483237,13.476305817953673
0.19816249324446047,k = 0,4.046363636363636,2.3340815962344027e-16,2.3340815962344027e-16,4.625274285458193e-17,1.177862449154288e-15,11.979988238354881,1.4963175795987909,13.476305817953673
0.19427764040974924,k = 0,4.1472727272727266,2.3561119660915967e-16,2.3561119660915967e-16,4.577398733134505e-17,1.21275508654642e-15,12.023523166989191,1.4527826509644808,13.476305817953673
0.19054217910964838,k = 0,4.248181818181818,2.377514454220804e-16,2.377514454220804e-16,4.5301678497191827e-17,1.247762813110609e-15,12.064996089169451,1.4113097287842202,13.476305817953673
0.18694765465669613,k = 0,4.349090909090909,2.3983179584341593e-16,2.3983179584341593e-16,4.4835991745030173e-17,1.2828820788569631e-15,12.104540488522565,1.3717653294311094,13.476305817953673
0.1834862385321101,k = 0,4.449999999999999,2.4185495776435707e-16,2.4185495776435707e-16,4.4377056470524235e-17,1.318109519815746e-15,12.14227900784944,1.3340268101042314,13.476305817953673
0.1801506714706846,k = 0,4.550909090909091,2.438234750495937e-16,2.438234750495937e-16,4.392496275050002e-17,1.3534419442298359e-15,12.178324498678869,1.2979813192748044,13.476305817953673
0.17693421264275375,k = 0,4.651818181818181,2.457397381488426e-16,2.457397381488426e-16,4.3479767084401936e-17,1.3888763200648675e-15,12.212780953747878,1.2635248642057968,13.476305817953673
0.1738305941845765,k = 0,4.752727272727272,2.4760599558370833e-16,2.4760599558370833e-16,4.3041497335979647e-17,1.4244097636851874e-15,12.245744337091335,1.2305614808623406,13.476305817953673
0.17083398043174405,k = 0,4.8536363636363635,2.4942436442310604e-16,2.4942436442310604e-16,4.26101569910571e-17,1.4600395295639818e-15,12.277303324391026,1.19900249356265,13.476305817953673
0.16793893129770993,k = 0,4.954545454545454,2.5119683984801347e-16,2.5119683984801347e-16,4.2185728829437375e-17,1.495763000913171e-15,12.307539964508177,1.168765853445494,13.476305817953673
0.16514036931391685,k = 0,5.055454545454545,2.5292530389531474e-16,2.5292530389531474e-16,4.1768178094106925e-17,1.5315776811333554e-15,12.336530271653402,1.1397755463002694,13.476305817953673
0.16243354991139988,k = 0,5.156363636363636,2.54611533460768e-16,2.54611533460768e-16,4.1357455228417724e-17,1.5674811859966553e-15,12.364344756393608,1.1119610615600646,13.476305817953673
